Column1;year;category;prize;prize_share;laureate_id;laureate_type;full_name;birth_date;birth_city;birth_country;sex;organization_name;organization_city;organization_country;death_date;death_city;death_country;usa_born_winner;decade;female;age;age_group
13;1903;Chemistry;The Nobel Prize in Chemistry 1903;01.01.2026;162;Individual;Svante August Arrhenius;1859-02-19;Vik;Sweden;Male;Stockholm University;Stockholm;Sweden;02.10.1927;Stockholm;Sweden;ЛОЖЬ;1900;ЛОЖЬ;44.0;Adult
14;1903;Literature;The Nobel Prize in Literature 1903;01.01.2026;572;Individual;Bj?rnstjerne Martinus Bj?rnson;1832-12-08;Kvikne;Norway;Male;;;;26.04.1910;Paris;France;ЛОЖЬ;1900;ЛОЖЬ;71.0;Senior
15;1903;Medicine;The Nobel Prize in Physiology or Medicine 1903;01.01.2026;295;Individual;Niels Ryberg Finsen;1860-12-15;Thorshavn;Faroe Islands (Denmark);Male;Finsen Medical Light Institute;Copenhagen;Denmark;24.09.1904;Copenhagen;Denmark;ЛОЖЬ;1900;ЛОЖЬ;43.0;Adult
16;1903;Peace;The Nobel Peace Prize 1903;01.01.2026;466;Individual;William Randal Cremer;1828-03-18;Fareham;United Kingdom;Male;;;;22.07.1908;London;United Kingdom;ЛОЖЬ;1900;ЛОЖЬ;75.0;Senior
17;1903;Physics;The Nobel Prize in Physics 1903;01.02.2026;4;Individual;Antoine Henri Becquerel;1852-12-15;Paris;France;Male;?cole Polytechnique;Paris;France;25.08.1908;;France;ЛОЖЬ;1900;ЛОЖЬ;51.0;Adult
18;1903;Physics;The Nobel Prize in Physics 1903;01.04.2026;5;Individual;Pierre Curie;1859-05-15;Paris;France;Male;?cole municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry);Paris;France;19.04.1906;Paris;France;ЛОЖЬ;1900;ЛОЖЬ;44.0;Adult
19;1903;Physics;The Nobel Prize in Physics 1903;01.04.2026;6;Individual;Marie Curie, n?e Sklodowska;1867-11-07;Warsaw;Russian Empire (Poland);Female;;;;04.07.1934;Sallanches;France;ЛОЖЬ;1900;ИСТИНА;36.0;Adult
20;1904;Chemistry;The Nobel Prize in Chemistry 1904;01.01.2026;163;Individual;Sir William Ramsay;1852-10-02;Glasgow;Scotland;Male;University College;London;United Kingdom;23.07.1916;High Wycombe;United Kingdom;ЛОЖЬ;1900;ЛОЖЬ;52.0;Adult
21;1904;Literature;The Nobel Prize in Literature 1904;01.02.2026;573;Individual;Fr?d?ric Mistral;1830-09-08;Maillane;France;Male;;;;25.03.1914;Maillane;France;ЛОЖЬ;1900;ЛОЖЬ;74.0;Senior
22;1904;Literature;The Nobel Prize in Literature 1904;01.02.2026;574;Individual;Jos? Echegaray y Eizaguirre;1832-04-19;Madrid;Spain;Male;;;;04.09.1916;Madrid;Spain;ЛОЖЬ;1900;ЛОЖЬ;72.0;Senior
23;1904;Medicine;The Nobel Prize in Physiology or Medicine 1904;01.01.2026;296;Individual;Ivan Petrovich Pavlov;1849-09-14;Ryazan;Russia;Male;Military Medical Academy;St. Petersburg;Russia;27.02.1936;Leningrad;Russia;ЛОЖЬ;1900;ЛОЖЬ;55.0;Adult
24;1904;Peace;The Nobel Peace Prize 1904;01.01.2026;467;Organization;Institut de droit international (Institute of International Law);;;;;;;;;;;ЛОЖЬ;1900;ЛОЖЬ;;Senior
25;1904;Physics;The Nobel Prize in Physics 1904;01.01.2026;8;Individual;Lord Rayleigh (John William Strutt);1842-11-12;Langford Grove, Maldon, Essex;United Kingdom;Male;Royal Institution of Great Britain;London;United Kingdom;30.06.1919;;United Kingdom;ЛОЖЬ;1900;ЛОЖЬ;62.0;Adult
26;1905;Chemistry;The Nobel Prize in Chemistry 1905;01.01.2026;164;Individual;Johann Friedrich Wilhelm Adolf von Baeyer;1835-10-31;Berlin;Prussia (Germany);Male;Munich University;Munich;Germany;20.08.1917;Starnberg;Germany;ЛОЖЬ;1900;ЛОЖЬ;70.0;Senior
27;1905;Literature;The Nobel Prize in Literature 1905;01.01.2026;575;Individual;Henryk Sienkiewicz;1846-05-05;Wola Okrzejska;Poland;Male;;;;15.11.1916;Vevey;Switzerland;ЛОЖЬ;1900;ЛОЖЬ;59.0;Adult
28;1905;Medicine;The Nobel Prize in Physiology or Medicine 1905;01.01.2026;297;Individual;Robert Koch;1843-12-11;Clausthal (Clausthal-Zellerfeld);Germany;Male;Institute for Infectious Diseases;Berlin;Germany;27.05.1910;Baden-Baden;Germany;ЛОЖЬ;1900;ЛОЖЬ;62.0;Adult
29;1905;Peace;The Nobel Peace Prize 1905;01.01.2026;468;Individual;Baroness Bertha Sophie Felicita von Suttner, n?e Countess Kinsky von Chinic und Tettau;1843-06-09;Prague;Austrian Empire (Czech Republic);Female;;;;21.06.1914;Vienna;Austria;ЛОЖЬ;1900;ИСТИНА;62.0;Adult
30;1905;Physics;The Nobel Prize in Physics 1905;01.01.2026;9;Individual;Philipp Eduard Anton von Lenard;1862-06-07;Pressburg (Bratislava);Hungary (Slovakia);Male;Kiel University;Kiel;Germany;20.05.1947;Messelhausen;Germany;ЛОЖЬ;1900;ЛОЖЬ;43.0;Adult
31;1906;Chemistry;The Nobel Prize in Chemistry 1906;01.01.2026;165;Individual;Henri Moissan;1852-09-28;Paris;France;Male;Sorbonne University;Paris;France;20.02.1907;Paris;France;ЛОЖЬ;1900;ЛОЖЬ;54.0;Adult
32;1906;Literature;The Nobel Prize in Literature 1906;01.01.2026;576;Individual;Giosu? Carducci;1835-07-27;Val di Castello;Tuscany (Italy);Male;;;;16.02.1907;Bologna;Italy;ЛОЖЬ;1900;ЛОЖЬ;71.0;Senior
33;1906;Medicine;The Nobel Prize in Physiology or Medicine 1906;01.02.2026;298;Individual;Camillo Golgi;1843-07-07;Corteno;Italy;Male;Pavia University;Pavia;Italy;21.01.1926;Pavia;Italy;ЛОЖЬ;1900;ЛОЖЬ;63.0;Adult
34;1906;Medicine;The Nobel Prize in Physiology or Medicine 1906;01.02.2026;299;Individual;Santiago Ram?n y Cajal;1852-05-01;Petilla de Arag?;Spain;Male;Madrid University;Madrid;Spain;17.10.1934;Madrid;Spain;ЛОЖЬ;1900;ЛОЖЬ;54.0;Adult
35;1906;Peace;The Nobel Peace Prize 1906;01.01.2026;470;Individual;Theodore Roosevelt;1858-10-27;New York, NY;United States of America;Male;;;;06.01.1919;Oyster Bay, NY;United States of America;ИСТИНА;1900;ЛОЖЬ;48.0;Adult
36;1906;Physics;The Nobel Prize in Physics 1906;01.01.2026;10;Individual;Joseph John Thomson;1856-12-18;Cheetham Hill, near Manchester;United Kingdom;Male;University of Cambridge;Cambridge;United Kingdom;30.08.1940;Cambridge;United Kingdom;ЛОЖЬ;1900;ЛОЖЬ;50.0;Adult
37;1907;Chemistry;The Nobel Prize in Chemistry 1907;01.01.2026;166;Individual;Eduard Buchner;1860-05-20;Munich;Bavaria (Germany);Male;Landwirtschaftliche Hochschule (Agricultural College);Berlin;Germany;13.08.1917;Focsani;Romania;ЛОЖЬ;1900;ЛОЖЬ;47.0;Adult
38;1907;Literature;The Nobel Prize in Literature 1907;01.01.2026;577;Individual;Rudyard Kipling;1865-12-30;Bombay;British India (India);Male;;;;18.01.1936;London;United Kingdom;ЛОЖЬ;1900;ЛОЖЬ;42.0;Adult
39;1907;Medicine;The Nobel Prize in Physiology or Medicine 1907;01.01.2026;300;Individual;Charles Louis Alphonse Laveran;1845-06-18;Paris;France;Male;Institut Pasteur;Paris;France;18.05.1922;Paris;France;ЛОЖЬ;1900;ЛОЖЬ;62.0;Adult
40;1907;Peace;The Nobel Peace Prize 1907;01.02.2026;471;Individual;Ernesto Teodoro Moneta;1833-09-20;Milan;Austrian Empire (Italy);Male;;;;10.02.1918;Milan;Italy;ЛОЖЬ;1900;ЛОЖЬ;74.0;Senior
41;1907;Peace;The Nobel Peace Prize 1907;01.02.2026;472;Individual;Louis Renault;1843-05-21;Autun;France;Male;Sorbonne University;Paris;France;08.02.1918;Barbizon;France;ЛОЖЬ;1900;ЛОЖЬ;64.0;Adult
42;1907;Physics;The Nobel Prize in Physics 1907;01.01.2026;11;Individual;Albert Abraham Michelson;1852-12-19;Strelno (Strzelno);Prussia (Poland);Male;University of Chicago;Chicago, IL;United States of America;09.05.1931;Pasadena, CA;United States of America;ЛОЖЬ;1900;ЛОЖЬ;55.0;Adult
43;1908;Chemistry;The Nobel Prize in Chemistry 1908;01.01.2026;167;Individual;Ernest Rutherford;1871-08-30;Nelson;New Zealand;Male;Victoria University;Manchester;United Kingdom;19.10.1937;Cambridge;United Kingdom;ЛОЖЬ;1900;ЛОЖЬ;37.0;Adult
44;1908;Literature;The Nobel Prize in Literature 1908;01.01.2026;578;Individual;Rudolf Christoph Eucken;1846-01-05;Aurich;East Friesland (Germany);Male;;;;14.09.1926;Jena;Germany;ЛОЖЬ;1900;ЛОЖЬ;62.0;Adult
45;1908;Medicine;The Nobel Prize in Physiology or Medicine 1908;01.02.2026;301;Individual;Ilya Ilyich Mechnikov;1845-05-15;Kharkov (Kharkiv);Russian Empire (Ukraine);Male;Institut Pasteur;Paris;France;15.07.1916;Paris;France;ЛОЖЬ;1900;ЛОЖЬ;63.0;Adult
46;1908;Medicine;The Nobel Prize in Physiology or Medicine 1908;01.02.2026;302;Individual;Paul Ehrlich;1854-03-14;Strehlen (Strzelin);Prussia (Poland);Male;Goettingen University;G?ttingen;Germany;20.08.1915;Bad Homburg vor der H?he;Germany;ЛОЖЬ;1900;ЛОЖЬ;54.0;Adult
47;1908;Peace;The Nobel Peace Prize 1908;01.02.2026;473;Individual;Klas Pontus Arnoldson;1844-10-27;Gothenburg;Sweden;Male;;;;20.02.1916;Stockholm;Sweden;ЛОЖЬ;1900;ЛОЖЬ;64.0;Adult
48;1908;Peace;The Nobel Peace Prize 1908;01.02.2026;474;Individual;Fredrik Bajer;1837-04-21;N?stved;Denmark;Male;;;;22.01.1922;Copenhagen;Denmark;ЛОЖЬ;1900;ЛОЖЬ;71.0;Senior
49;1908;Physics;The Nobel Prize in Physics 1908;01.01.2026;12;Individual;Gabriel Lippmann;1845-08-16;Hollerich;Luxembourg;Male;Sorbonne University;Paris;France;13.07.1921;;;ЛОЖЬ;1900;ЛОЖЬ;63.0;Adult
50;1909;Chemistry;The Nobel Prize in Chemistry 1909;01.01.2026;168;Individual;Wilhelm Ostwald;1853-09-02;Riga;Russian Empire (Latvia);Male;Leipzig University;Leipzig;Germany;04.04.1932;Leipzig;Germany;ЛОЖЬ;1900;ЛОЖЬ;56.0;Adult
51;1909;Literature;The Nobel Prize in Literature 1909;01.01.2026;579;Individual;Selma Ottilia Lovisa Lagerl?f;1858-11-20;M?rbacka;Sweden;Female;;;;16.03.1940;M?rbacka;Sweden;ЛОЖЬ;1900;ИСТИНА;51.0;Adult
52;1909;Medicine;The Nobel Prize in Physiology or Medicine 1909;01.01.2026;303;Individual;Emil Theodor Kocher;1841-08-25;Berne;Switzerland;Male;Berne University;Berne;Switzerland;27.07.1917;Berne;Switzerland;ЛОЖЬ;1900;ЛОЖЬ;68.0;Senior
53;1909;Peace;The Nobel Peace Prize 1909;01.02.2026;475;Individual;Auguste Marie Fran?ois Beernaert;1829-07-26;Ostend;Belgium;Male;;;;06.10.1912;Lucerne;Switzerland;ЛОЖЬ;1900;ЛОЖЬ;80.0;Senior
54;1909;Peace;The Nobel Peace Prize 1909;01.02.2026;476;Individual;Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque;1852-11-22;La Fl?che;France;Male;;;;15.05.1924;Paris;France;ЛОЖЬ;1900;ЛОЖЬ;57.0;Adult
55;1909;Physics;The Nobel Prize in Physics 1909;01.02.2026;13;Individual;Guglielmo Marconi;1874-04-25;Bologna;Italy;Male;Marconi Wireless Telegraph Co. Ltd.;London;United Kingdom;20.07.1937;Rome;Italy;ЛОЖЬ;1900;ЛОЖЬ;35.0;Adult
56;1909;Physics;The Nobel Prize in Physics 1909;01.02.2026;14;Individual;Karl Ferdinand Braun;1850-06-06;Fulda;Hesse-Kassel (Germany);Male;Strasbourg University;Strasbourg;Alsace (then Germany, now France);20.04.1918;Brooklyn, NY;United States of America;ЛОЖЬ;1900;ЛОЖЬ;59.0;Adult
57;1910;Chemistry;The Nobel Prize in Chemistry 1910;01.01.2026;169;Individual;Otto Wallach;1847-03-27;Koenigsberg (Kaliningrad);Germany (Russia);Male;Goettingen University;G?ttingen;Germany;26.02.1931;G?ttingen;Germany;ЛОЖЬ;1910;ЛОЖЬ;63.0;Adult
58;1910;Literature;The Nobel Prize in Literature 1910;01.01.2026;580;Individual;Paul Johann Ludwig Heyse;1830-03-15;Berlin;Prussia (Germany);Male;;;;02.04.1914;Munich;Germany;ЛОЖЬ;1910;ЛОЖЬ;80.0;Senior
59;1910;Medicine;The Nobel Prize in Physiology or Medicine 1910;01.01.2026;304;Individual;Albrecht Kossel;1853-09-16;Rostock;Mecklenburg (Germany);Male;University of Heidelberg;Heidelberg;Germany;05.07.1927;Heidelberg;Germany;ЛОЖЬ;1910;ЛОЖЬ;57.0;Adult
60;1910;Peace;The Nobel Peace Prize 1910;01.01.2026;477;Organization;Bureau international permanent de la Paix (Permanent International Peace Bureau);;;;;;;;;;;ЛОЖЬ;1910;ЛОЖЬ;;Senior
61;1910;Physics;The Nobel Prize in Physics 1910;01.01.2026;15;Individual;Johannes Diderik van der Waals;1837-11-23;Leiden;Netherlands;Male;Amsterdam University;Amsterdam;Netherlands;08.03.1923;Amsterdam;Netherlands;ЛОЖЬ;1910;ЛОЖЬ;73.0;Senior
62;1911;Chemistry;The Nobel Prize in Chemistry 1911;01.01.2026;6;Individual;Marie Curie, n?e Sklodowska;1867-11-07;Warsaw;Russian Empire (Poland);Female;Sorbonne University;Paris;France;04.07.1934;Sallanches;France;ЛОЖЬ;1910;ИСТИНА;44.0;Adult
63;1911;Literature;The Nobel Prize in Literature 1911;01.01.2026;581;Individual;Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck;1862-08-29;Ghent;Belgium;Male;;;;06.05.1949;Nice;France;ЛОЖЬ;1910;ЛОЖЬ;49.0;Adult
64;1911;Medicine;The Nobel Prize in Physiology or Medicine 1911;01.01.2026;305;Individual;Allvar Gullstrand;1862-06-05;Landskrona;Sweden;Male;Uppsala University;Uppsala;Sweden;28.07.1930;Stockholm;Sweden;ЛОЖЬ;1910;ЛОЖЬ;49.0;Adult
65;1911;Peace;The Nobel Peace Prize 1911;01.02.2026;478;Individual;Tobias Michael Carel Asser;1838-04-28;Amsterdam;Netherlands;Male;;;;29.07.1913;the Hague;Netherlands;ЛОЖЬ;1910;ЛОЖЬ;73.0;Senior
66;1911;Peace;The Nobel Peace Prize 1911;01.02.2026;479;Individual;Alfred Hermann Fried;1864-11-11;Vienna;Austria;Male;;;;05.05.1921;Vienna;Austria;ЛОЖЬ;1910;ЛОЖЬ;47.0;Adult
67;1911;Physics;The Nobel Prize in Physics 1911;01.01.2026;16;Individual;Wilhelm Wien;1864-01-13;Gaffken (Parusnoye);Prussia (Russia);Male;W?rzburg University;W?rzburg;Germany;30.08.1928;Munich;Germany;ЛОЖЬ;1910;ЛОЖЬ;47.0;Adult
68;1912;Chemistry;The Nobel Prize in Chemistry 1912;01.02.2026;172;Individual;Victor Grignard;1871-05-06;Cherbourg;France;Male;Nancy University;Nancy;France;13.12.1935;Lyon;France;ЛОЖЬ;1910;ЛОЖЬ;41.0;Adult
69;1912;Chemistry;The Nobel Prize in Chemistry 1912;01.02.2026;173;Individual;Paul Sabatier;1854-11-05;Carcassonne;France;Male;Toulouse University;Toulouse;France;14.08.1941;Toulouse;France;ЛОЖЬ;1910;ЛОЖЬ;58.0;Adult
70;1912;Literature;The Nobel Prize in Literature 1912;01.01.2026;582;Individual;Gerhart Johann Robert Hauptmann;1862-11-15;Bad Salzbrunn;Prussia (Germany);Male;;;;06.06.1946;Agnetendorf (Jagniatk?w);Germany (Poland);ЛОЖЬ;1910;ЛОЖЬ;50.0;Adult
71;1912;Medicine;The Nobel Prize in Physiology or Medicine 1912;01.01.2026;306;Individual;Alexis Carrel;1873-06-28;Sainte-Foy-l?s-Lyon;France;Male;Rockefeller Institute for Medical Research;New York, NY;United States of America;05.11.1944;Paris;France;ЛОЖЬ;1910;ЛОЖЬ;39.0;Adult
72;1912;Peace;The Nobel Peace Prize 1912;01.01.2026;480;Individual;Elihu Root;1845-02-15;Clinton, NY;United States of America;Male;;;;07.02.1937;New York, NY;United States of America;ИСТИНА;1910;ЛОЖЬ;67.0;Senior
73;1912;Physics;The Nobel Prize in Physics 1912;01.01.2026;17;Individual;Nils Gustaf Dal?n;1869-11-30;Stenstorp;Sweden;Male;Swedish Gas-Accumulator Co.;Liding?-Stockholm;Sweden;09.12.1937;Stockholm;Sweden;ЛОЖЬ;1910;ЛОЖЬ;43.0;Adult
74;1913;Chemistry;The Nobel Prize in Chemistry 1913;01.01.2026;174;Individual;Alfred Werner;1866-12-12;Mulhouse;France;Male;University of Zurich;Zurich;Switzerland;15.11.1919;Zurich;Switzerland;ЛОЖЬ;1910;ЛОЖЬ;47.0;Adult
75;1913;Literature;The Nobel Prize in Literature 1913;01.01.2026;583;Individual;Rabindranath Tagore;1861-05-07;Calcutta;India;Male;;;;07.08.1941;Calcutta;India;ЛОЖЬ;1910;ЛОЖЬ;52.0;Adult
76;1913;Medicine;The Nobel Prize in Physiology or Medicine 1913;01.01.2026;307;Individual;Charles Robert Richet;1850-08-26;Paris;France;Male;Sorbonne University;Paris;France;04.12.1935;Paris;France;ЛОЖЬ;1910;ЛОЖЬ;63.0;Adult
77;1913;Peace;The Nobel Peace Prize 1913;01.01.2026;481;Individual;Henri La Fontaine;1854-04-22;Brussels;Belgium;Male;;;;14.05.1943;Brussels;Belgium;ЛОЖЬ;1910;ЛОЖЬ;59.0;Adult
78;1913;Physics;The Nobel Prize in Physics 1913;01.01.2026;18;Individual;Heike Kamerlingh Onnes;1853-09-21;Groningen;Netherlands;Male;Leiden University;Leiden;Netherlands;21.02.1926;Leiden;Netherlands;ЛОЖЬ;1910;ЛОЖЬ;60.0;Adult
79;1914;Chemistry;The Nobel Prize in Chemistry 1914;01.01.2026;175;Individual;Theodore William Richards;1868-01-31;Germantown, PA;United States of America;Male;Harvard University;Cambridge, MA;United States of America;02.04.1928;Cambridge, MA;United States of America;ИСТИНА;1910;ЛОЖЬ;46.0;Adult
80;1914;Medicine;The Nobel Prize in Physiology or Medicine 1914;01.01.2026;308;Individual;Robert B?r?ny;1876-04-22;Vienna;Austria;Male;Vienna University;Vienna;Austria;08.04.1936;Uppsala;Sweden;ЛОЖЬ;1910;ЛОЖЬ;38.0;Adult
81;1914;Physics;The Nobel Prize in Physics 1914;01.01.2026;19;Individual;Max von Laue;1879-10-09;Pfaffendorf;Germany;Male;Frankfurt-on-the-Main University;Frankfurt-on-the-Main;Germany;23.04.1960;Berlin;West Germany (Germany);ЛОЖЬ;1910;ЛОЖЬ;35.0;Adult
82;1915;Chemistry;The Nobel Prize in Chemistry 1915;01.01.2026;176;Individual;Richard Martin Willst?tter;1872-08-13;Karlsruhe;Germany;Male;Munich University;Munich;Germany;03.08.1942;Locarno;Switzerland;ЛОЖЬ;1910;ЛОЖЬ;43.0;Adult
83;1915;Literature;The Nobel Prize in Literature 1915;01.01.2026;584;Individual;Romain Rolland;1866-01-29;Clamecy;France;Male;;;;30.12.1944;V?zelay;France;ЛОЖЬ;1910;ЛОЖЬ;49.0;Adult
84;1915;Physics;The Nobel Prize in Physics 1915;01.02.2026;20;Individual;Sir William Henry Bragg;1862-07-02;Wigton;United Kingdom;Male;University College;London;United Kingdom;12.03.1942;London;United Kingdom;ЛОЖЬ;1910;ЛОЖЬ;53.0;Adult
85;1915;Physics;The Nobel Prize in Physics 1915;01.02.2026;21;Individual;William Lawrence Bragg;1890-03-31;Adelaide;Australia;Male;Victoria University;Manchester;United Kingdom;01.07.1971;Ipswich;United Kingdom;ЛОЖЬ;1910;ЛОЖЬ;25.0;Youth
86;1916;Literature;The Nobel Prize in Literature 1916;01.01.2026;585;Individual;Carl Gustaf Verner von Heidenstam;1859-07-06;Olshammar;Sweden;Male;;;;20.05.1940;?vralid;Sweden;ЛОЖЬ;1910;ЛОЖЬ;57.0;Adult
87;1917;Literature;The Nobel Prize in Literature 1917;01.02.2026;586;Individual;Karl Adolph Gjellerup;1857-06-02;Roholte;Denmark;Male;;;;11.10.1919;Klotzsche;Germany;ЛОЖЬ;1910;ЛОЖЬ;60.0;Adult
88;1917;Literature;The Nobel Prize in Literature 1917;01.02.2026;587;Individual;Henrik Pontoppidan;1857-07-24;Fredericia;Denmark;Male;;;;21.08.1943;Ordrup;Denmark;ЛОЖЬ;1910;ЛОЖЬ;60.0;Adult
89;1917;Peace;The Nobel Peace Prize 1917;01.01.2026;482;Organization;Comit? international de la Croix Rouge (International Committee of the Red Cross);;;;;;;;;;;ЛОЖЬ;1910;ЛОЖЬ;;Senior
90;1917;Physics;The Nobel Prize in Physics 1917;01.01.2026;22;Individual;Charles Glover Barkla;1877-06-07;Widnes;United Kingdom;Male;Edinburgh University;Edinburgh;United Kingdom;23.10.1944;Edinburgh;Scotland;ЛОЖЬ;1910;ЛОЖЬ;40.0;Adult
91;1918;Chemistry;The Nobel Prize in Chemistry 1918;01.01.2026;177;Individual;Fritz Haber;1868-12-09;Breslau (Wroclaw);Prussia (Poland);Male;Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) f?r physikalische Chemie und Electrochemie;Berlin-Dahlem;Germany;29.01.1934;Basel;Switzerland;ЛОЖЬ;1910;ЛОЖЬ;50.0;Adult
92;1918;Physics;The Nobel Prize in Physics 1918;01.01.2026;23;Individual;Max Karl Ernst Ludwig Planck;1858-04-23;Kiel;Schleswig (Germany);Male;Berlin University;Berlin;Germany;04.10.1947;G?ttingen;West Germany (Germany);ЛОЖЬ;1910;ЛОЖЬ;60.0;Adult
93;1919;Literature;The Nobel Prize in Literature 1919;01.01.2026;588;Individual;Carl Friedrich Georg Spitteler;1845-04-24;Liestal;Switzerland;Male;;;;29.12.1924;Lucerne;Switzerland;ЛОЖЬ;1910;ЛОЖЬ;74.0;Senior
94;1919;Medicine;The Nobel Prize in Physiology or Medicine 1919;01.01.2026;309;Individual;Jules Bordet;1870-06-13;Soignies;Belgium;Male;Brussels University;Brussels;Belgium;06.04.1961;Brussels;Belgium;ЛОЖЬ;1910;ЛОЖЬ;49.0;Adult
95;1919;Peace;The Nobel Peace Prize 1919;01.01.2026;483;Individual;Thomas Woodrow Wilson;1856-12-28;Staunton, VA;United States of America;Male;;;;03.02.1924;Washington, DC;United States of America;ИСТИНА;1910;ЛОЖЬ;63.0;Adult
96;1919;Physics;The Nobel Prize in Physics 1919;01.01.2026;24;Individual;Johannes Stark;1874-04-15;Schickenhof;Germany;Male;Greifswald University;Greifswald;Germany;21.06.1957;Traunstein;West Germany (Germany);ЛОЖЬ;1910;ЛОЖЬ;45.0;Adult
97;1920;Chemistry;The Nobel Prize in Chemistry 1920;01.01.2026;178;Individual;Walther Hermann Nernst;1864-06-25;Briesen;Prussia (Germany);Male;Berlin University;Berlin;Germany;18.11.1941;Muskau;Germany;ЛОЖЬ;1920;ЛОЖЬ;56.0;Adult
98;1920;Literature;The Nobel Prize in Literature 1920;01.01.2026;589;Individual;Knut Pedersen Hamsun;1859-08-04;Lom;Norway;Male;;;;19.02.1952;Grimstad;Norway;ЛОЖЬ;1920;ЛОЖЬ;61.0;Adult
99;1920;Medicine;The Nobel Prize in Physiology or Medicine 1920;01.01.2026;310;Individual;Schack August Steenberg Krogh;1874-11-15;Gren?;Denmark;Male;Copenhagen University;Copenhagen;Denmark;13.09.1949;Copenhagen;Denmark;ЛОЖЬ;1920;ЛОЖЬ;46.0;Adult
100;1920;Peace;The Nobel Peace Prize 1920;01.01.2026;484;Individual;L?on Victor Auguste Bourgeois;1851-05-21;Paris;France;Male;;;;29.09.1925;?pernay;France;ЛОЖЬ;1920;ЛОЖЬ;69.0;Senior
